run_id	workflow	status	started	duration_s	cause
30826782806	Build Platform Agent	failure	2026-08-03T15:17:23Z	92	parent:workflow_run
30898873674	platform-test	failure	2026-08-04T10:01:29Z	862	push:fix(ci): sha-resolve verify retry loop — GitHub API conclusion lag (c…
30898874264	platform-gate-fast	success	2026-08-04T10:01:29Z	428	push:fix(ci): sha-resolve verify retry loop — GitHub API conclusion lag (c…
30899397577	Build Platform Agent	failure	2026-08-04T10:08:39Z	113	parent:workflow_run
30899397601	core-deploy	failure	2026-08-04T10:10:44Z	39	parent:workflow_run
30899397612	Mirror to TronyxLab	success	2026-08-04T10:08:39Z	16	parent:workflow_run
30899703193	platform-gate-fast	success	2026-08-04T10:12:59Z	393	push:ci: trigger fresh core-deploy (VPS_SSH_KEY rotation)
30899703732	platform-test	failure	2026-08-04T10:12:59Z	973	push:ci: trigger fresh core-deploy (VPS_SSH_KEY rotation)
30900162098	core-deploy	failure	2026-08-04T10:19:36Z	35	parent:workflow_run
30900163020	Build Platform Agent	failure	2026-08-04T10:19:37Z	108	parent:workflow_run
30900163393	Mirror to TronyxLab	success	2026-08-04T10:19:37Z	20	parent:workflow_run
30900645710	platform-gate-fast	success	2026-08-04T10:26:27Z	397	push:fix(platform): AGE key node persistence (/etc/age/key.txt) — decrypt …
30900645786	platform-test	failure	2026-08-04T10:26:27Z	991	push:fix(platform): AGE key node persistence (/etc/age/key.txt) — decrypt …
30901113341	core-deploy	success	2026-08-04T10:33:06Z	664	parent:workflow_run
30901113346	Build Platform Agent	failure	2026-08-04T10:33:06Z	160	parent:workflow_run
30901113459	Mirror to TronyxLab	success	2026-08-04T10:33:06Z	27	parent:workflow_run
30906823324	platform-test	failure	2026-08-04T11:55:06Z	820	push:fix(platform): vhost /health upstream set in-location (empty variable…
30906823354	platform-gate-fast	success	2026-08-04T11:55:06Z	383	push:fix(platform): vhost /health upstream set in-location (empty variable…
30907282332	Build Platform Agent	failure	2026-08-04T12:01:31Z	116	parent:workflow_run
30907282489	core-deploy	success	2026-08-04T12:01:32Z	29	parent:workflow_run
30907282654	Mirror to TronyxLab	success	2026-08-04T12:01:32Z	15	parent:workflow_run
31056366725	.github/workflows/platform-test.yml	failure	2026-08-05T23:26:25Z	0	push:feat(140): debt-close-wave — telegram channel fixes (quoted secrets.e…
31056367576	platform-gate-fast	failure	2026-08-05T23:26:26Z	468	push:feat(140): debt-close-wave — telegram channel fixes (quoted secrets.e…
31056367581	Build Hermes Images	failure	2026-08-05T23:26:26Z	96	push:feat(140): debt-close-wave — telegram channel fixes (quoted secrets.e…
31056824178	Build Platform Agent	skipped	2026-08-05T23:34:16Z	2	parent:workflow_run
31056824227	core-deploy	skipped	2026-08-05T23:34:16Z	2	parent:workflow_run
31056824285	Mirror to TronyxLab	skipped	2026-08-05T23:34:17Z	0	parent:workflow_run
31058577757	.github/workflows/platform-test.yml	failure	2026-08-06T00:06:05Z	0	push:fix(141): cold bootstrap — certificates dep-gate (B4), TOR_ENABLED up…
31058578546	platform-gate-fast	success	2026-08-06T00:06:06Z	468	push:fix(141): cold bootstrap — certificates dep-gate (B4), TOR_ENABLED up…
31059030388	Mirror to TronyxLab	success	2026-08-06T00:13:57Z	25	parent:workflow_run
31059030393	core-deploy	failure	2026-08-06T00:13:57Z	12	parent:workflow_run
31059030399	Build Platform Agent	failure	2026-08-06T00:13:57Z	127	parent:workflow_run
31059042978	platform-test	failure	2026-08-06T00:14:10Z	120	push:fix(141): first-deploy pull retry 5×[5,10,20,40,60] (transient pull k…
31059043002	platform-gate-fast	failure	2026-08-06T00:14:10Z	100	push:fix(141): first-deploy pull retry 5×[5,10,20,40,60] (transient pull k…
31059137592	Mirror to TronyxLab	skipped	2026-08-06T00:15:52Z	6	parent:workflow_run
31059137593	core-deploy	skipped	2026-08-06T00:15:52Z	1	parent:workflow_run
31059137594	Build Platform Agent	skipped	2026-08-06T00:15:52Z	7	parent:workflow_run
31070915825	platform-gate-fast	failure	2026-08-06T04:28:01Z	128	push:fix(141): bootstrap stub compose B9, doxygen flake B10, check killpg …
31070915844	platform-test	failure	2026-08-06T04:19:09Z	148	push:fix(141): bootstrap stub compose B9, doxygen flake B10, check killpg …
31071011893	Build Platform Agent	skipped	2026-08-06T04:21:14Z	1	parent:workflow_run
31071011899	Mirror to TronyxLab	skipped	2026-08-06T04:21:14Z	1	parent:workflow_run
31071011908	core-deploy	skipped	2026-08-06T04:21:14Z	10	parent:workflow_run
31071427852	core-deploy	skipped	2026-08-06T04:30:11Z	10	parent:workflow_run
31071427856	Mirror to TronyxLab	skipped	2026-08-06T04:30:11Z	1	parent:workflow_run
31071427881	Build Platform Agent	skipped	2026-08-06T04:30:11Z	1	parent:workflow_run
31071581545	platform-test	failure	2026-08-06T04:33:21Z	874	push:fix(141): DOCKER_HUB_AUTH в SoT env_defaults (CI env-гейт), static_au…
31071581563	platform-gate-fast	failure	2026-08-06T04:33:21Z	779	push:fix(141): DOCKER_HUB_AUTH в SoT env_defaults (CI env-гейт), static_au…
31072180394	core-deploy	skipped	2026-08-06T04:46:22Z	1	parent:workflow_run
31072180425	Mirror to TronyxLab	skipped	2026-08-06T04:46:22Z	1	parent:workflow_run
31072180452	Build Platform Agent	skipped	2026-08-06T04:46:22Z	1	parent:workflow_run
31074685391	platform-test	failure	2026-08-06T05:37:33Z	842	push:fix(141): doxygen f-string quotes (B10 root), grafana #69950 chatid w…
31074685497	platform-gate-fast	failure	2026-08-06T05:37:33Z	774	push:fix(141): doxygen f-string quotes (B10 root), grafana #69950 chatid w…
31075333082	Build Platform Agent	skipped	2026-08-06T05:50:29Z	7	parent:workflow_run
31075333126	Mirror to TronyxLab	skipped	2026-08-06T05:50:29Z	9	parent:workflow_run
31075333140	core-deploy	skipped	2026-08-06T05:50:29Z	1	parent:workflow_run
31076165307	platform-test	failure	2026-08-06T06:06:09Z	845	push:fix(141): B12 FL15 false-wildcard (direct parent cert ≠ wildcard), de…
31076165322	platform-gate-fast	failure	2026-08-06T06:06:09Z	808	push:fix(141): B12 FL15 false-wildcard (direct parent cert ≠ wildcard), de…
31076438965	platform-test	cancelled	2026-08-06T06:11:02Z	134	push:fix(141): e2e-verify -brief в openssl s_client ломал chain-парсинг (c…
31076439006	platform-gate-fast	failure	2026-08-06T06:11:03Z	801	push:fix(141): e2e-verify -brief в openssl s_client ломал chain-парсинг (c…
31076557800	platform-gate-fast	success	2026-08-06T06:13:15Z	819	push:fix(141): DOCKER_HUB_AUTH в .env.example генераторе + env-contract co…
31076557838	platform-test	failure	2026-08-06T06:13:15Z	1465	push:fix(141): DOCKER_HUB_AUTH в .env.example генераторе + env-contract co…
31076909969	Build Platform Agent	skipped	2026-08-06T06:19:40Z	2	parent:workflow_run
31076910090	Mirror to TronyxLab	skipped	2026-08-06T06:19:40Z	3	parent:workflow_run
31076910098	core-deploy	skipped	2026-08-06T06:19:40Z	2	parent:workflow_run
31077176641	Build Platform Agent	skipped	2026-08-06T06:24:27Z	1	parent:workflow_run
31077176643	Mirror to TronyxLab	skipped	2026-08-06T06:24:27Z	8	parent:workflow_run
31077176669	core-deploy	skipped	2026-08-06T06:24:27Z	2	parent:workflow_run
31077314431	core-deploy	failure	2026-08-06T06:26:57Z	16	parent:workflow_run
31077314446	Mirror to TronyxLab	success	2026-08-06T06:26:57Z	19	parent:workflow_run
31077314447	Build Platform Agent	failure	2026-08-06T06:26:57Z	97	parent:workflow_run
31079288382	platform-gate-fast	failure	2026-08-06T07:00:41Z	127	push:fix(141): B16 renderer import (monitoring.constants dotted), B17 aler…
31079288634	platform-test	failure	2026-08-06T07:00:41Z	122	push:fix(141): B16 renderer import (monitoring.constants dotted), B17 aler…
31079423704	Build Platform Agent	skipped	2026-08-06T07:02:50Z	2	parent:workflow_run
31079423737	Mirror to TronyxLab	skipped	2026-08-06T07:02:50Z	2	parent:workflow_run
31079423819	core-deploy	skipped	2026-08-06T07:02:50Z	8	parent:workflow_run
31079518458	platform-gate-fast	failure	2026-08-06T07:04:21Z	122	push:docs(141): ночная сессия — VerificationReport, TimingsReport, Telegra…
31079518459	platform-test	failure	2026-08-06T07:04:21Z	122	push:docs(141): ночная сессия — VerificationReport, TimingsReport, Telegra…
31079654822	Build Platform Agent	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079654832	core-deploy	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079654968	Mirror to TronyxLab	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079991416	platform-gate-fast	failure	2026-08-06T07:11:45Z	784	push:fix(141): proxy opt-in контракт для monitoring (env_shared, consumers…
31079991442	platform-test	failure	2026-08-06T07:11:46Z	859	push:fix(141): proxy opt-in контракт для monitoring (env_shared, consumers…
31080820864	Mirror to TronyxLab	skipped	2026-08-06T07:24:51Z	1	parent:workflow_run
31080821125	Build Platform Agent	skipped	2026-08-06T07:24:52Z	1	parent:workflow_run
31080821191	core-deploy	skipped	2026-08-06T07:24:52Z	8	parent:workflow_run
31081100992	platform-test	failure	2026-08-06T07:29:15Z	1076	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081101043	platform-gate-fast	success	2026-08-06T07:29:15Z	749	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081101178	Build Hermes Images	failure	2026-08-06T07:29:15Z	28	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081168332	platform-gate-fast	success	2026-08-06T07:30:16Z	815	push:docs(141): финальные evidence-обновления (timings, ci-runs, state)
31081168467	platform-test	failure	2026-08-06T07:30:16Z	2132	push:docs(141): финальные evidence-обновления (timings, ci-runs, state)
31081913367	core-deploy	failure	2026-08-06T07:41:46Z	22	parent:workflow_run
31081913429	Build Platform Agent	failure	2026-08-06T07:41:46Z	113	parent:workflow_run
31081913431	Mirror to TronyxLab	success	2026-08-06T07:41:46Z	18	parent:workflow_run
31082046946	Mirror to TronyxLab	success	2026-08-06T07:43:53Z	17	parent:workflow_run
31082047016	core-deploy	failure	2026-08-06T07:43:53Z	19	parent:workflow_run
31082047036	Build Platform Agent	failure	2026-08-06T07:43:53Z	87	parent:workflow_run
